text,classification_label,weight,label,,
She,0,0.0769230769230769,0,,
She should,0,0.153846153846154,,,
She should ask,0,0.230769230769231,,,
She should ask a,0,0.307692307692308,,,
She should ask a few,0,0.384615384615385,,,
She should ask a few native,0,0.461538461538462,,,
She should ask a few native Americans,0,0.538461538461538,,,
She should ask a few native Americans what,0,0.615384615384615,,,
She should ask a few native Americans what their,0,0.692307692307692,,,
She should ask a few native Americans what their take,0,0.769230769230769,,,
She should ask a few native Americans what their take on,0,0.846153846153846,,,
She should ask a few native Americans what their take on this,0,0.923076923076923,,,
She should ask a few native Americans what their take on this is.,0,1,,,
Go,1,0.125,,,
Go home,1,0.25,,,
Go home you’re,1,0.375,,,
Go home you’re drunk!!!,1,0.5,,,
Go home you’re drunk!!! #MAGA,1,0.625,,,
Go home you’re drunk!!! #MAGA #Trump2020,1,0.75,,,
Go home you’re drunk!!! #MAGA #Trump2020 👊🇺🇸👊,1,0.875,,,
Go home you’re drunk!!! #MAGA #Trump2020 👊🇺🇸👊 URL,1,1,,,
Amazon,0,0.037037037037037,,,
Amazon is,0,0.0740740740740741,,,
Amazon is investigating,0,0.111111111111111,,,
Amazon is investigating Chinese,0,0.148148148148148,,,
Amazon is investigating Chinese employees,0,0.185185185185185,,,
Amazon is investigating Chinese employees who,0,0.222222222222222,,,
Amazon is investigating Chinese employees who are,0,0.259259259259259,,,
Amazon is investigating Chinese employees who are selling,0,0.296296296296296,,,
Amazon is investigating Chinese employees who are selling internal,0,0.333333333333333,,,
Amazon is investigating Chinese employees who are selling internal data,0,0.37037037037037,,,
Amazon is investigating Chinese employees who are selling internal data to,0,0.407407407407407,,,
Amazon is investigating Chinese employees who are selling internal data to third-party,0,0.444444444444444,,,
Amazon is investigating Chinese employees who are selling internal data to third-party sellers,0,0.481481481481481,,,
Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking,0,0.518518518518519,,,
Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for,0,0.555555555555556,,,
Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an,0,0.592592592592593,,,
Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge,0,0.62962962962963,,,
Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in,0,0.666666666666667,,,
Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the,0,0.703703703703704,,,
Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive,0,0.740740740740741,,,
Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace.,0,0.777777777777778,,,
Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL,0,0.814814814814815,,,
Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon,0,0.851851851851852,,,
Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA,0,0.888888888888889,,,
Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG,0,0.925925925925926,,,
Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA,0,0.962962962962963,,,
Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT,0,1,,,
Someone,0,0.1,,,
"Someone should'veTaken""",0,0.2,,,
"Someone should'veTaken"" this",0,0.3,,,
"Someone should'veTaken"" this piece",0,0.4,,,
"Someone should'veTaken"" this piece of",0,0.5,,,
"Someone should'veTaken"" this piece of shit",0,0.6,,,
"Someone should'veTaken"" this piece of shit to",0,0.7,,,
"Someone should'veTaken"" this piece of shit to a",0,0.8,,,
"Someone should'veTaken"" this piece of shit to a volcano.",0,0.9,,,
"Someone should'veTaken"" this piece of shit to a volcano. 😂""",0,1,,,
Obama,0,0.1,,,
Obama wanted,0,0.2,,,
Obama wanted liberals,0,0.3,,,
Obama wanted liberals &amp ,0,0.4,,,
Obama wanted liberals &amp illegals,0,0.5,,,
Obama wanted liberals &amp illegals to,0,0.6,,,
Obama wanted liberals &amp illegals to move,0,0.7,,,
Obama wanted liberals &amp illegals to move into,0,0.8,,,
Obama wanted liberals &amp illegals to move into red,0,0.9,,,
Obama wanted liberals &amp illegals to move into red states,0,1,,,
Liberals,1,0.2,,,
Liberals are,1,0.4,,,
Liberals are all,1,0.6,,,
Liberals are all Kookoo,1,0.8,,,
Liberals are all Kookoo !!!,1,1,,,
Oh,0,0.25,,,
Oh noes!,0,0.5,,,
Oh noes! Tough,0,0.75,,,
Oh noes! Tough shit.,0,1,,,
was,1,0.0333333333333333,,,
was literally,1,0.0666666666666667,,,
was literally just,1,0.1,,,
was literally just talking,1,0.133333333333333,,,
was literally just talking about,1,0.166666666666667,,,
was literally just talking about this,1,0.2,,,
was literally just talking about this lol,1,0.233333333333333,,,
was literally just talking about this lol all,1,0.266666666666667,,,
