phrase_id,partial_phrase,label
0,I,0.0
0,I have,0.0
0,I have no,0.0
0,I have no doubt,0.0
0,I have no doubt that,0.0
0,I have no doubt that Jesus,0.1
0,I have no doubt that Jesus was,0.1
0,I have no doubt that Jesus was a,0.1
0,I have no doubt that Jesus was a black,0.4
0,I have no doubt that Jesus was a black man.,0.4
0,I have no doubt that Jesus was a black man. Just,0.5
0,I have no doubt that Jesus was a black man. Just like,0.5
0,I have no doubt that Jesus was a black man. Just like in,0.6
0,I have no doubt that Jesus was a black man. Just like in the,0.6
0,I have no doubt that Jesus was a black man. Just like in the case,0.6
0,I have no doubt that Jesus was a black man. Just like in the case of,0.7
0,I have no doubt that Jesus was a black man. Just like in the case of black,0.7
0,"I have no doubt that Jesus was a black man. Just like in the case of black dads,",0.8
0,"I have no doubt that Jesus was a black man. Just like in the case of black dads, everyone",0.8
0,"I have no doubt that Jesus was a black man. Just like in the case of black dads, everyone is",0.8
0,"I have no doubt that Jesus was a black man. Just like in the case of black dads, everyone is waiting",0.8
0,"I have no doubt that Jesus was a black man. Just like in the case of black dads, everyone is waiting for",0.9
0,"I have no doubt that Jesus was a black man. Just like in the case of black dads, everyone is waiting for his",0.9
0,"I have no doubt that Jesus was a black man. Just like in the case of black dads, everyone is waiting for his second",0.9
0,"I have no doubt that Jesus was a black man. Just like in the case of black dads, everyone is waiting for his second coming.",1.0
1,Why,0.0
1,Why can't,0.0
1,Why can't all,0.0
1,Why can't all Black,0.2
1,Why can't all Black Women,0.4
1,Why can't all Black Women wear,0.5
1,Why can't all Black Women wear their,0.6
1,Why can't all Black Women wear their hair,0.8
1,Why can't all Black Women wear their hair like,0.9
1,Why can't all Black Women wear their hair like yours?,1.0
2,REMINDER:,0.0
2,REMINDER: femoids,0.3
2,REMINDER: femoids would,0.4
2,REMINDER: femoids would rather,0.5
2,REMINDER: femoids would rather fuck,0.6
2,REMINDER: femoids would rather fuck ABUSIVE,0.6
2,REMINDER: femoids would rather fuck ABUSIVE CHADS,0.6
2,REMINDER: femoids would rather fuck ABUSIVE CHADS than,0.7
2,REMINDER: femoids would rather fuck ABUSIVE CHADS than an,0.7
2,REMINDER: femoids would rather fuck ABUSIVE CHADS than an incel,0.7
2,REMINDER: femoids would rather fuck ABUSIVE CHADS than an incel But,0.7
2,REMINDER: femoids would rather fuck ABUSIVE CHADS than an incel But don't,0.8
2,REMINDER: femoids would rather fuck ABUSIVE CHADS than an incel But don't forget,0.8
2,REMINDER: femoids would rather fuck ABUSIVE CHADS than an incel But don't forget that,0.8
2,REMINDER: femoids would rather fuck ABUSIVE CHADS than an incel But don't forget that your,0.8
2,REMINDER: femoids would rather fuck ABUSIVE CHADS than an incel But don't forget that your personality,0.9
2,REMINDER: femoids would rather fuck ABUSIVE CHADS than an incel But don't forget that your personality is,0.9
2,REMINDER: femoids would rather fuck ABUSIVE CHADS than an incel But don't forget that your personality is the,0.9
2,REMINDER: femoids would rather fuck ABUSIVE CHADS than an incel But don't forget that your personality is the problem.,1.0
3,what,0.0
3,what 's,0.0
3,what 's black,0.4
3,what 's black and,0.5
3,what 's black and screams,0.6
3,what 's black and screams ?,0.6
3,what 's black and screams ? stevie,0.7
3,what 's black and screams ? stevie wonder,0.8
3,what 's black and screams ? stevie wonder answering,0.8
3,what 's black and screams ? stevie wonder answering the,0.8
3,what 's black and screams ? stevie wonder answering the iron,0.9
3,what 's black and screams ? stevie wonder answering the iron .,1.0
4,*most,0.0
4,*most boys,0.0
4,*most boys @ihatethiskid,0.0
4,*most boys @ihatethiskid I'm,0.0
4,*most boys @ihatethiskid I'm not,0.0
4,*most boys @ihatethiskid I'm not sexist,0.5
4,*most boys @ihatethiskid I'm not sexist but,0.7
4,*most boys @ihatethiskid I'm not sexist but all,0.7
