epoch,train_loss,val_loss,train_f1,train_accuracy,val_f1,val_accuracy
1,0.9814,0.8906,0.0743,0.3718,0.0817,0.3816
2,0.5965,0.5668,0.1117,0.4330,0.1143,0.4374
3,0.4857,0.5072,0.1250,0.4655,0.1217,0.4570
4,0.4541,0.4801,0.1278,0.4702,0.1237,0.4642
5,0.4280,0.4582,0.1319,0.4821,0.1247,0.4676
6,0.4115,0.4468,0.1319,0.4878,0.1267,0.4743
7,0.3936,0.4307,0.1324,0.4892,0.1312,0.4857
8,0.3791,0.4190,0.1345,0.4949,0.1331,0.4922
9,0.3734,0.4074,0.1356,0.4982,0.1338,0.4944
10,0.3628,0.3997,0.1358,0.4975,0.1343,0.4961
11,0.3582,0.3887,0.1349,0.4991,0.1346,0.4967
12,0.3496,0.3778,0.1370,0.5031,0.1359,0.5006
13,0.3423,0.3673,0.1377,0.5037,0.1368,0.5033
14,0.3401,0.3701,0.1366,0.5039,0.1370,0.5045
15,0.3280,0.3592,0.1381,0.5062,0.1374,0.5056
16,0.3273,0.3521,0.1394,0.5074,0.1394,0.5092
17,0.3205,0.3455,0.1392,0.5100,0.1400,0.5109
18,0.3256,0.3451,0.1379,0.5071,0.1397,0.5104
19,0.3165,0.3415,0.1406,0.5094,0.1402,0.5120
20,0.3126,0.3288,0.1396,0.5136,0.1413,0.5154
21,0.3112,0.3278,0.1401,0.5129,0.1417,0.5165
22,0.3065,0.3186,0.1385,0.5116,0.1415,0.5159
23,0.3027,0.3148,0.1410,0.5154,0.1416,0.5165
24,0.2958,0.3105,0.1406,0.5152,0.1424,0.5187
25,0.2950,0.3061,0.1410,0.5158,0.1422,0.5182
26,0.2927,0.3020,0.1406,0.5167,0.1424,0.5187
27,0.2836,0.3002,0.1424,0.5189,0.1425,0.5193
28,0.2840,0.2921,0.1421,0.5185,0.1425,0.5193
29,0.2810,0.2917,0.1407,0.5215,0.1425,0.5193
30,0.2741,0.2834,0.1410,0.5207,0.1427,0.5204
31,0.2734,0.2844,0.1422,0.5232,0.1422,0.5187
32,0.2734,0.2847,0.1423,0.5225,0.1425,0.5193
33,0.2697,0.2797,0.1415,0.5233,0.1425,0.5193
34,0.2670,0.2747,0.1425,0.5217,0.1423,0.5193
35,0.2714,0.2687,0.1417,0.5228,0.1429,0.5215
36,0.2636,0.2720,0.1427,0.5254,0.1427,0.5204
37,0.2603,0.2653,0.1421,0.5248,0.1434,0.5232
38,0.2573,0.2622,0.1421,0.5262,0.1441,0.5249
39,0.2526,0.2651,0.1448,0.5288,0.1438,0.5237
40,0.2545,0.2579,0.1425,0.5277,0.1439,0.5243
41,0.2516,0.2537,0.1429,0.5282,0.1451,0.5268
42,0.2476,0.2537,0.1445,0.5286,0.1454,0.5280
43,0.2494,0.2513,0.1434,0.5263,0.1454,0.5280
44,0.2418,0.2512,0.1441,0.5296,0.1452,0.5274
45,0.2447,0.2436,0.1443,0.5293,0.1466,0.5319
46,0.2350,0.2448,0.1455,0.5324,0.1465,0.5313
47,0.2366,0.2398,0.1474,0.5328,0.1468,0.5324
48,0.2346,0.2395,0.1445,0.5307,0.1466,0.5319
